suite_version,suite_id,scenario_id,tier,seed,method_name,method_config_json,metric_T_r2,metric_T_dtw,metric_S_spectral_corr,metric_S_maxlag_corr,metric_S_r2,length,timestamp,package_version,git_commit,scenario_periods_json
v1.0.0,full,logistic_trend_multi_seasonal,2,0,CEEMDAN,{},0.9028949144205514,2.640969980658713,0.8518289248708693,0.7824378768975551,0.5584472692715702,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,EMD,{},0.87991441624735,2.4975937631449163,0.8395528859402533,0.756889692460968,0.5019272242557793,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,GABOR_BANDS,{},0.7362265446068132,4.657687466846447,0.5425425226811944,0.4608453033798924,-1.3748766105309815,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,GABOR_CLUSTER,{},0.2304817774101112,9.470502675490112,-0.2133886423252912,0.0135463032014313,-0.8039812815572447,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,GABOR_RIDGE,{},0.0,11.963624990433605,0.6304360495509529,0.3103213422311029,-5.269898614477731,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,MA_BASELINE,{},0.7842281885734024,3.852149288191183,0.1604742102644013,0.2570162218677954,-0.0325295745394171,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,MSTL,{},0.8890120812198354,1.6588108425606798,0.8224161877334474,0.7901244757996699,0.563002024422613,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,ROBUSTSTL,{},0.9044616218018362,1.609384701614583,0.7753554150236128,0.7397368312276544,0.4274005243259323,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,SSA,{},0.8787435236341563,2.238064605505091,0.868732652603844,0.8627045088902985,0.7134564871711151,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,STD,{},0.7528085641747793,4.758334266448385,0.9521390966581292,0.7924012764012569,0.4602425404279616,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,STL,{},0.891908384579243,1.6434845383977588,0.8023213005778518,0.7643679020082088,0.4979910927429857,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,VMD,{},0.754448109357447,4.544693502917827,0.8564210921889772,0.8459586212486666,0.6804379454679639,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,logistic_trend_multi_seasonal,2,0,WAVELET,{},0.8687000706255947,2.5796718916045576,0.822790463056253,0.7928403091360721,0.5859509470545564,256,2026-01-23T00:49:04Z,,,"[24, 168]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,CEEMDAN,{},-1.3941082888920864,7.856837015341993,0.7295264497140445,0.4762792599470032,-0.4788955949356929,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,EMD,{},-1.4948451639027698,8.039881399349039,-0.1753442897467831,0.0375479312530074,-0.8771538300589509,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,GABOR_BANDS,{},-8.846181614821836,21.54117829925205,0.7318031350125173,0.1041961003182941,-9.47669326193722,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,GABOR_CLUSTER,{},-3.3954008485613505,13.4907844152374,-0.2058561523729793,0.0068529974181761,-0.9211114527669212,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,GABOR_RIDGE,{},-1.1102230246251569e-17,8.131569007523197,0.6624306043134197,0.2153965083933208,-13.62282643983946,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,MA_BASELINE,{},-1.7661654016287724,8.906957516201249,-0.0783728919756783,0.0157494616155806,-0.0108659855243338,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,MSTL,{},-1.2409217466668658,7.301560306132283,-0.0768224552001401,0.0319576436732448,-0.2419046169944672,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,ROBUSTSTL,{},-1.0999973243343146,6.5877558606472775,-0.0517900383526803,0.0362085746802452,-0.4658041939149275,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,SSA,{},-1.1349272570862865,7.448025750002801,0.8973657212940521,0.845477136660365,0.6247995376607218,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,STD,{},-1.1340434876323116,7.456554253242724,0.897814257121671,0.8385033503305962,0.6193684127402282,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,STL,{},-1.178322892129427,7.114973660470691,-0.0531059701966258,0.0208084088654946,-0.3528541146388999,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,VMD,{},-1.6543384108953454,8.945097218238683,-0.1620778943858422,0.0055022827007111,-0.1800716345062894,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,piecewise_trend_regime_cycle_with_events,3,0,WAVELET,{},-1.1801776533154058,7.150351616257588,0.8790944067364581,0.7866591145604847,0.5892769597002164,256,2026-01-23T00:49:04Z,,,"[40, 65]"
v1.0.0,full,poly_trend_multi_harmonic,2,0,CEEMDAN,{},0.5599575592152679,3.3716560796515544,0.757188373185723,0.6470236596647766,0.2297296510001973,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,EMD,{},0.724998094560158,2.3891909865045142,0.3567869296412339,0.2872571245341914,-0.2219249165895377,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,GABOR_BANDS,{},-15.67806063159352,24.817974669624032,0.7075659782557376,0.6269759513195953,-2.8123808493497062,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,GABOR_CLUSTER,{},-1.119884322889391,8.557462127178757,-0.2264564959394597,0.0130360744386039,-0.3739398741409924,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,GABOR_RIDGE,{},5.551115123125783e-17,7.431159799869361,0.4952138111472054,0.3055674048921244,-3.0361474060389533,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,MA_BASELINE,{},0.4936003452386622,3.566555915144213,0.0339815235032909,0.1628824103814136,0.0007856877533289,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,MSTL,{},0.8002977597583139,2.0817552405679978,0.4857107521405002,0.4920257378263587,0.2363852543735972,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,ROBUSTSTL,{},0.8375544192763803,1.9308970508507384,0.4478450759740652,0.4479491981269792,0.0842455943026215,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,SSA,{},0.1315157832490694,4.005451036253621,0.8013268907767376,0.7127116843696439,0.4000671723375825,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,STD,{},0.1077487975646951,3.9621628507501176,0.7766108344357695,0.6830303355525691,0.3745546618802893,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,STL,{},0.8219549610296297,1.9971566412808284,0.4599277748639799,0.4670609227460806,0.1907238793999278,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,VMD,{},0.296943719149956,4.694998621902295,-0.167857481777058,0.0065074151656716,-0.0882073138922733,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,poly_trend_multi_harmonic,2,0,WAVELET,{},0.9015931954750732,1.2912807990711193,0.8997340730990058,0.8152429757016201,0.5779211550894978,256,2026-01-23T00:49:04Z,,,[48]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,CEEMDAN,{},-1.4200516387329982,7.938168036547401,-0.1052895156605135,0.0533494482314839,-0.3321577101207346,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,EMD,{},0.1581880909256526,4.025095462208062,-0.1764233769293837,0.0392580755578032,-0.320295824660323,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,GABOR_BANDS,{},-15.702639150126624,26.08090057141884,0.9306806827433852,-0.0339751036859597,-32.049103422009374,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,GABOR_CLUSTER,{},-2.1593451625938638,9.8373378382411,-0.1877917969585888,0.0078920514019169,-0.3241535309504823,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,GABOR_RIDGE,{},0.0,7.313007702389051,0.8468832786559781,0.6412721839081457,-2.610150850389525,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,MA_BASELINE,{},-0.9154920089341272,6.568277370252227,-0.0831210161167861,0.00541020536074,-0.0111468095461377,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,MSTL,{},-0.2961251479299661,5.247379547116448,-0.0725550353706205,0.0117231733766527,-0.09916631615342,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,ROBUSTSTL,{},-0.1035095393310021,5.182495343505874,0.0105807005023339,0.0026046097576215,-0.2294868592723539,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,SSA,{},-1.6875430871445878,7.915423137450356,0.3856087177841598,0.1721555378165572,-0.1378898390819484,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,STD,{},-1.711851308295121,7.982852964695359,0.3820153780615745,0.1553193934152648,-0.1478875975473102,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,STL,{},-0.2317181169590577,5.271049640022665,-0.0110757594619229,0.001851413294232,-0.1531890200103669,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,VMD,{},-1.3836404395642758,7.899934155281504,-0.1408999185528694,0.0018428941257742,-0.0744659199441766,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,rw_trend_freq_drifting_cycle,3,0,WAVELET,{},0.0363450550085571,4.069933782240857,0.923373304518966,0.7782286578403704,0.5616044306408056,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_only_linear,1,0,CEEMDAN,{},0.996878259339134,0.2141312908018774,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,EMD,{},0.9947844803403396,0.2729793534651464,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,GABOR_BANDS,{},0.9274885628897864,2.424433436909118,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,GABOR_CLUSTER,{},0.96890560804312,1.4456661733445468,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,GABOR_RIDGE,{},-2.220446049250313e-17,9.273759452297917,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,MA_BASELINE,{},0.9811109175185244,1.1907492616101152,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,MSTL,{},0.998369406574301,0.1160733328236782,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,ROBUSTSTL,{},0.9981410118072876,0.1383503446602772,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,SSA,{},0.9986902331909876,0.1004330663677211,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,STD,{},0.9987222228353664,0.1053805293054097,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,STL,{},0.998443060250592,0.1152905777374489,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,VMD,{},0.9857449314030318,0.920004470206642,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_only_linear,1,0,WAVELET,{},0.9983487218513752,0.1828317097778337,0.0,0.0,0.0,256,2026-01-23T00:49:04Z,,,[]
v1.0.0,full,trend_plus_single_sine,1,0,CEEMDAN,{},0.8501150812850643,2.018365181762178,0.9728726507594102,0.9483636046623416,0.8861326566839643,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,EMD,{},0.8537202980720909,1.9552543405686968,0.9639816851008328,0.9338737696247492,0.8569523222080232,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,GABOR_BANDS,{},-78.19346702345004,56.96720259262708,0.7426544088242598,0.6265622240986894,-13.57420672581477,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,GABOR_CLUSTER,{},-2.8441785895020084,11.76571623635423,-0.1223430255047288,0.0104015442670606,-0.2838040698601077,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,GABOR_RIDGE,{},6.661338147750939e-17,6.652505640320998,0.8458018773830354,0.7484706436832976,0.4089371281159361,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,MA_BASELINE,{},-1.224635790810748,8.55356775868111,0.161585524734651,0.1689965366182432,0.0037861469344623,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,MSTL,{},0.9801269873565188,0.4057234014514649,0.9723583979562448,0.9399614295416364,0.8692874711794498,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,ROBUSTSTL,{},0.9625747002121386,0.5493255110832814,0.9582340857261634,0.913636462337496,0.8047761433193863,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,SSA,{},0.8738582323117944,1.271249742277001,0.9908264579499172,0.980296307799648,0.953610177944743,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,STD,{},-2.669952953776948,10.898111828651388,0.1308344875067247,0.0268752563801034,-0.24230197392096,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,STL,{},0.9807071362371932,0.3935825072566495,0.9719467475737644,0.9362234377425798,0.8599781247520013,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,VMD,{},-1.9416310539622783,9.94742925957339,0.073908459487664,0.1153540149193735,0.0716534114156968,256,2026-01-23T00:49:04Z,,,[50]
v1.0.0,full,trend_plus_single_sine,1,0,WAVELET,{},0.5655068024281961,2.9652722940108958,0.935653495042606,0.9117976046490248,0.8300333706692282,256,2026-01-23T00:49:04Z,,,[50]
